Observatoire des territoires - ANCT; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : Communes (2024); ; ; ; ; ; ; ; ; ; 
Code;Libellé;Nombre d'Arrêtés de Catastrophes Naturelles publiés au J.O.;Evolution Surface agricole utilisée (SAU) (2010-2020) 2020;Part des surfaces selon l’occupation du sol 2018;Part des surfaces selon l’occupation du sol 2018;Part des surfaces selon l’occupation du sol 2018;Part des surfaces selon l’occupation du sol 2018;Superficie 2021;Consommation d'espaces naturels, agricoles et forestiers (ENAF) entre le 1er janvier 2009 et le 1er janvier 2023;Population au dernier recensement 2021
14082;La Boissière;5;-5.4;4.7;0;5.2;90.1;2;1.5;188
14083;Bonnebosq;10;-8.2;2.3;0;0;97.7;12.2;11.5;669
14084;Bonnemaison;5;-4.1;0;0;15.4;84.6;8.4;6.9;395
14085;Bonneville-la-Louvet;8;-8.2;0.7;0;1.9;97.4;20.8;29.6;818
14086;Bonneville-sur-Touques;5;-62.5;4.8;0;0.1;91.8;6.6;26;321
14087;Bonnœil;5;-15;3.6;0;19;77.3;7.2;7.9;120
14088;Bons-Tassilly;4;32.7;3.8;0;0.7;95.5;9.4;2;397
14089;Bougy;4;N/A - résultat non disponible;10.5;0;0;89.5;3;0.5;384
14090;Boulon;4;42.4;2.3;0;45.2;52.5;15;11.7;810
14091;Bourgeauville;4;-27.4;0;0;0;100;6.2;6.8;98
14092;Bourguébus;4;-37.9;24;0;0;76;5.5;30.2;2433
14093;Branville;4;-83.6;0;0;0;100;6.4;14.9;211
14096;Brémoy;4;2.2;0;0;25.8;74.2;12.5;8.4;247
14097;Bretteville-le-Rabet;4;-6.9;16.9;0;0;83.1;4.5;3.9;300
14098;Thue et Mue;12;-10.7;10.7;0;0.9;88.4;36.8;66.9;6169
14100;Bretteville-sur-Laize;8;-14.8;12.5;0;6.8;80.7;9.7;23.4;1911
14101;Bretteville-sur-Odon;9;-64.3;49.4;0;0;50.6;6.5;64.5;4148
14102;Le Breuil-en-Auge;7;57.6;9.2;0;8.9;78.5;9.4;4.9;977
14103;Le Breuil-en-Bessin;5;60.3;6.5;0;0;93.5;4.4;8.6;413
14104;Le Brévedent;4;-38.8;0;0;16.6;83.4;4.4;10.1;191
14106;Bréville-les-Monts;5;4.6;8.7;0;0;91.3;4.8;6.2;656
14107;Bricqueville;5;16.8;0;0;0;100;6.7;1.6;155
14110;Brucourt;5;10.2;0;2.2;2.5;90.8;6.6;2.4;127
14111;Bucéels;6;-58.5;0;0;0;100;4.8;4.3;444
14116;Le Bû-sur-Rouvres;5;-34.6;9.3;0;0;90.7;2.8;1.2;114
14117;Cabourg;7;N/A - division par 0;73.9;0;3.3;18.5;5.5;15.9;3583
14118;Caen;20;-76.6;94.7;0;0;5;25.7;3.2;108200
14119;Cagny;5;0.7;15.7;0;0;84.3;8.5;17.5;2039
14120;Cahagnes;5;11.3;1.4;0;1.1;97.5;24.4;40.8;1412
14121;Cahagnolles;5;15.4;0;0;0.2;99.8;7.2;5.2;255
14122;La Caine;5;6.8;0;0;0;100;2.4;1.2;158
14123;Cairon;16;-5.4;17.8;0;0;82.2;5.9;19.8;2023
14124;La Cambe;8;9.7;4.7;0;0;95.3;11.2;7;550
14125;Cambes-en-Plaine;8;-14.7;22.2;0;0;77.8;3.2;15.8;1807
14126;Cambremer;6;0.8;2.1;0;1.4;96.5;27;20.6;1310
14127;Campagnolles;5;0.8;0;0;0;100;10.1;19.3;555
14130;Campigny;5;-3.8;0;0;3.6;96.4;5.6;2.5;185
14131;Canapville;4;17.6;18;0;0;82;2.5;14.1;228
14132;Canchy;6;-1.5;0.3;0;0;99.7;5.7;2.1;203
14134;Canteloup;4;-54.5;17;0;0;83;2.3;2;188
14135;Carcagny;5;0;5.8;0;0;94.2;4.2;1.3;278
14136;Cardonville;5;82.4;0;0;0;100;3.3;0.7;93
14137;Carpiquet;5;23.9;58.1;0;0;41.9;5.9;19;3133
14138;Cartigny-l'Épinay;5;-26.8;0;0;0;100;10.2;1.1;298
14140;Castillon;5;-30.9;0.1;0;0.3;99.6;11;3.5;359
14141;Castillon-en-Auge;6;-6.1;0;0;6.2;93.8;7.2;4.1;162
14143;Caumont-sur-Aure;7;-18.8;1.8;0;1.1;97.1;39.9;37.7;2417
14145;Cauvicourt;5;-31.6;6.1;0;0;93.9;9.6;5.2;554
14146;Cauville;4;-2.6;0;0;12;88;5.8;6.6;170
14147;Cernay;4;1.4;0;0;10.6;89.4;5.8;2.9;138
14149;Cesny-aux-Vignes;4;14.3;9.6;0;3.7;86.7;4.2;6;417
14150;Cesny-les-Sources;10;3.2;2.2;0;10.7;87.1;33.9;6.8;1390
14159;Chouain;6;68.4;0;0;0;100;3.1;1.9;235
14160;Cintheaux;4;2.9;1.2;0;0;98.8;7.6;0.3;181
14161;Clarbec;6;-15.3;0;0;0;100;9.7;16.3;324
14162;Clécy;10;-1.8;2.6;0;16.2;81.3;24.6;30.7;1316
14163;Cléville;7;-21.5;6;0;0;94;8.5;7.4;392
14165;Colleville-sur-Mer;5;211;14.8;0;17.6;67.6;6.9;3.5;193
14166;Colleville-Montgomery;6;-4.7;15.8;0.3;3.6;80.3;7.7;14;2537
14167;Colombelles;10;244;65;0;4.7;30.1;7.1;40;7022
14168;Colombières;6;8.9;2.6;0;0;97.4;10.6;1.9;205
14169;Colombiers-sur-Seulles;6;-2.9;0;0;0;100;3.3;0.2;155
14171;Combray;5;12.2;0;0;24.6;75.4;4.5;2.9;144
14172;Commes;8;-5.4;0.2;0.1;2.8;96.9;6.6;13.3;457
14173;Condé-sur-Ifs;5;-5.6;4.2;0;1.1;94.7;11.3;4;441
14174;Condé-en-Normandie;13;7.1;6.5;0;3.9;89.6;63;75.8;6157
14175;Condé-sur-Seulles;6;4.2;10.8;0;0;89.2;2.4;2.5;303
14177;Coquainvilliers;8;-26;6.9;0;7.3;85.8;11.9;13;842
14179;Cordebugle;6;19.8;0;0;36.7;63.3;9;3.5;166
14180;Cordey;6;-15.2;0.2;0;19.7;80.1;4.5;2;154
14181;Cormelles-le-Royal;4;38.7;83.2;0;0;16.8;3.5;11.1;5170
14182;Cormolain;6;13.6;0;0;0.5;99.5;11;4.2;395
14183;Cossesseville;7;-89.9;0;0;16.3;83.7;4.7;6.7;105
14184;Cottun;5;-13.7;0;0;0;100;3.8;3.7;231
14190;Courcy;5;37.2;3.3;0;5.1;91.7;9.1;0.4;125
14191;Courseulles-sur-Mer;9;-14.9;28.6;3.6;0;67.8;7.9;36.2;4137
14193;Courtonne-la-Meurdrac;9;128.3;0;0;10.4;89.6;12.7;19.6;674
14194;Courtonne-les-Deux-Églises;9;15.9;0;0;20.6;79.4;13.7;7.1;635
14195;Courvaudon;6;10.7;0;0;0;100;9.5;10.3;278
14196;Crépon;6;-21.8;6.8;0;0;93.2;5.4;0.3;217
14197;Cresserons;6;-8.4;17.8;0;0;82.2;3.6;4.7;1088
14198;Cresseveuille;5;-42.6;0;0;0;100;5.5;15.7;255
14200;Creully sur Seulles;12;15.7;8.6;0;1.9;89.6;18.7;17;2266
14202;Cricquebœuf;9;11.1;19;1.1;0.5;79.5;1.9;9.7;266
14203;Cricqueville-en-Auge;9;-6.2;0;0;2.7;97.3;6.8;8.4;187
14204;Cricqueville-en-Bessin;7;40.7;0;1.3;0;98.6;8.6;5.9;170
14205;Cristot;4;-5.7;0;0;0.9;99.1;3.9;0.9;220
14206;Crocy;5;-30.9;4.9;0;2.7;92.4;10.1;1.9;288
14207;Croisilles;9;11.2;3.5;0;14;82.5;10.2;7.9;647
14209;Crouay;5;-34.6;3.7;0;0.1;96.1;7.7;3.3;509
14211;Culey-le-Patry;8;-6.7;0;0;28;72;7.8;11.1;373
14214;Cussy;4;-36.7;13.4;0;0;86.6;2.3;1;177
14215;Cuverville;5;-41.5;36.5;0;0;63.5;2;13.3;2278
14216;Damblainville;6;64.1;4.6;0;7.8;87.6;6.3;0.9;235
14218;Danestal;6;-26.3;5.1;0;3.7;91.2;6.4;9.4;406
14220;Deauville;9;N/A - résultat non disponible;95.1;0.7;1.9;2.3;3.6;3.5;3565
14221;Démouville;4;0;44.9;0;0;55.1;3.6;20.3;3008
14223;Le Détroit;4;24.9;0;0;12;88;5.5;1.1;90
14224;Deux-Jumeaux;6;-24.5;0;0;0;100;4.1;0.1;52
14225;Dives-sur-Mer;6;392.9;41.6;0;2;51.8;6.5;4;5174
14226;Donnay;5;43.5;2.9;0;31.6;65.5;11.2;17.8;311
14227;Douville-en-Auge;6;9.7;0;0;0;100;6.2;3.6;217
14228;Douvres-la-Délivrande;10;-1.2;22.4;0;3.5;74;10.7;49.6;5097
14229;Dozulé;4;-38.1;23.7;0;25.9;50.4;5.2;16;2315
14230;Drubec;4;-55.6;0;0;0;100;3.1;4.2;113
14231;Beaufour-Druval;6;-15.2;0;0;0.8;99.2;11.3;7.9;435
14232;Ducy-Sainte-Marguerite;6;54.3;0;0;0;100;3.6;1.4;175
14236;Ellon;5;-10.7;0;0;0.2;99.8;6.7;10.5;619
14237;Émiéville;4;1.1;8.4;0;0.5;91.1;3.9;4;628
14238;Englesqueville-en-Auge;5;-6;0;0;4.6;95.4;3.6;5.7;113
14239;Englesqueville-la-Percée;8;-7.6;0;0;0;99.9;7.9;8.4;98
14240;Épaney;6;6.8;4.6;0;12;83.4;11.6;2.2;501
14241;Épinay-sur-Odon;8;-5.6;3.7;0;0.7;95.6;11.6;19.7;629
14242;Épron;5;N/A - résultat non disponible;63.2;0;0;36.8;1.4;32.3;1672
14243;Équemauville;6;40.8;12.3;0;3.4;84.3;6;34;1568
14244;Eraines;5;N/A - résultat non disponible;8;0;0;92;4;3.6;288
14245;Ernes;7;35.8;5.9;0;0;94.1;8.9;1.3;318
14246;Escoville;4;-6.5;7.2;0;0.4;92.4;5.2;12.7;805
14248;Espins;5;-5.9;0;0;3.6;96.4;4.6;7.7;248
14249;Esquay-Notre-Dame;6;-6.6;20.3;0;0;79.7;3;9.9;1442
14250;Esquay-sur-Seulles;5;60.3;45.2;0;0;54.8;2.9;4.4;286
14251;Esson;6;24.7;4.5;0;19.1;76.4;8.9;13;563
14252;Estrées-la-Campagne;4;11;3.4;0;4.4;92.2;7.4;2.1;258
14254;Éterville;8;166.5;14.7;0;0;85.3;4.9;6.7;1604
14256;Étréham;5;21.2;0;0;0;100;4.2;6.1;325
14257;Évrecy;5;1.6;12.7;0;0;87.3;8.3;23;2037
14258;Falaise;9;8.6;38;0;2.1;59.9;11.8;22.3;7782
14260;Fauguernon;4;66.4;0;0;10.6;89.4;7.4;6.4;235
14261;Le Faulq;4;-53.7;0;0;4.3;95.7;4.4;14;331
14266;Feuguerolles-Bully;8;-40.2;16.6;0;10.9;72.5;8.2;6.6;1509
14269;Fierville-les-Parcs;5;N/A - résultat non disponible;0.3;0;22.6;73.9;4.9;9.8;229
14270;Firfol;4;-43.9;0;0;6.3;93.7;5;2.7;377
14271;Fleury-sur-Orne;10;-58.6;39.1;0;0.2;60.7;6.8;97.9;5303
14272;La Folie;5;0.3;0;0;0;100;6.5;0.5;103
14273;La Folletière-Abenon;4;-0.6;0;0;23.1;76.9;10.8;1.5;140
14274;Fontaine-Étoupefour;4;-36.5;22.3;0;0.3;77.4;5.1;33;2747
14275;Fontaine-Henry;5;2.3;6.3;0;11.7;82;5.8;4.8;509
14276;Fontaine-le-Pin;5;-11;0;0;14.3;85.7;8.5;1;348
14277;Fontenay-le-Marmion;5;-11.7;11.8;0;0;88.2;10.2;8.3;1997
14278;Fontenay-le-Pesnel;6;-11;8.2;0;0;91.8;10.1;14.1;1217
14280;Formentin;5;12.3;0;0;0;100;5.9;5.9;267
14281;Formigny La Bataille;8;32.2;0;0;0.1;99.9;26.2;22.8;752
14282;Foulognes;7;-4.2;0;0;0;100;6.4;3.9;214
14283;Fourches;5;-18.4;6.9;0;0.3;92.9;4.8;1;218
14284;Fourneaux-le-Val;5;-11.8;0;0;12.6;87.4;5.4;0.3;155
14285;Le Fournet;4;-28.9;0;0;10.9;89.1;3;0.6;76
14286;Fourneville;4;0;0;0;4.5;95.5;6.9;36.7;467
14287;Frénouville;7;-2.1;17.1;0;3.1;79.7;6.4;23.2;1995
14288;Le Fresne-Camilly;5;-7.5;10.1;0;0.1;89.8;7.1;8.2;947
14289;Fresné-la-Mère;5;52.7;3.3;0;2.3;94.5;8.1;3.6;578
14290;Fresney-le-Puceux;6;-14.2;13.6;0;2;84.4;9.7;5.9;804
14291;Fresney-le-Vieux;4;-33.5;10.5;0;0.2;89.3;2.5;2.4;309
14293;Fumichon;4;54.1;0;0;12.9;87.1;6.6;6;270
14297;Gavrus;4;-14.1;12.2;0;6.2;81.6;2.7;2.4;610
14298;Géfosse-Fontenay;15;12.9;2;0.4;0;97.6;11.1;2.5;131
14299;Genneville;6;-35.5;3.4;0;3;93.7;9.4;26.2;831
14300;Gerrots;4;28.2;0;0;0;100;3.5;1;51
14301;Giberville;6;-13.6;53.2;0;0;46.8;5;21.7;4844
14302;Glanville;4;-7.5;0;0;0;100;6.4;21.2;161
14303;Glos;10;13.7;6.5;0;5.7;87.7;12.9;56.9;924
14304;Gonneville-sur-Honfleur;6;6.3;0;0;6.7;93.3;8.5;27.9;864
14305;Gonneville-sur-Mer;6;-32.1;16.8;0;4.2;79;12.4;26.1;661
14306;Gonneville-en-Auge;4;-55.3;14.4;0;0;85.6;4.3;6.8;384
14308;Goustranville;6;-25.5;0;5.6;3.5;90.7;10.3;8.8;311
14309;Gouvix;4;95.3;10.9;0;30.9;58.2;5.2;5;831
14310;Grainville-Langannerie;4;-14.5;16;0;0;84;5.3;4.5;759
14311;Grainville-sur-Odon;4;76.9;11.9;0;2.4;85.7;5.3;8.2;1050
14312;Grandcamp-Maisy;10;-2.3;11.5;0.5;0;88;14.8;6;1529
14316;Grangues;5;18;4.4;0;11;84.7;6.6;16.7;283
14318;Graye-sur-Mer;7;31.6;7.6;13.7;4.1;74.6;6.5;11.7;761
14319;Grentheville;5;-24.9;19.7;0;0;80.3;4.1;17.5;984
14320;Grimbosq;4;10.1;4.8;0;61.1;34.1;8.6;1.8;283
14322;Guéron;7;-9.5;0;0;0;100;5.3;5.9;246
14325;Hermanville-sur-Mer;8;11.6;22.3;1;0;76.8;8.1;37.1;3203
14326;Hermival-les-Vaux;4;3.2;4.7;0;18.7;76.6;13.8;16.1;843
14327;Hérouville-Saint-Clair;9;6.1;65.5;0;8;20.9;10.6;5.3;22227
14328;Hérouvillette;4;-53.2;22.1;0;0;77.9;4;6.8;1351
14329;Heuland;6;63;0;0;0;100;3;17.4;125
14332;La Hoguette;6;31.8;0.3;0;44.4;55.3;24.4;6.6;662
14333;Honfleur;6;-22.1;44.1;0;9.6;46;13.7;225.1;6761
14334;L'Hôtellerie;5;87.6;0;0;0;100;5.7;5.7;317
14335;Hotot-en-Auge;7;0.3;0;0;1.6;98.4;24;5.2;296
14336;Hottot-les-Bagues;5;-11.9;3.9;0;0;96.1;8.4;1.1;468
14337;La Houblonnière;5;-17.3;0.7;0;14.5;84.8;7.1;2;327
14338;Houlgate;10;-60.7;60.5;0;9.3;30;4.7;10.2;1666
14341;Ifs;8;-10.3;57;0;3.3;39.7;9.1;42.9;11981
14342;Isigny-sur-Mer;10;-10.1;1.9;0;0;97.9;61.4;14.7;3570
14343;Les Isles-Bardel;4;-48.1;0;0;24.3;75.7;5.7;4.1;70
14344;Janville;10;-18.3;0;0.3;0.4;99.2;4.4;6.1;389
14345;Jort;5;15.1;4.3;0;0;95.7;6.6;1;301
14346;Juaye-Mondaye;6;19.1;0;0;5.3;94.7;16.1;6.8;691
14347;Dialan sur Chaîne;5;-16.4;3;0;14.3;82.7;21.9;24.8;1012
14348;Juvigny-sur-Seulles;6;11;0.2;0;12.1;87.6;3.5;0.2;82
14349;Laize-Clinchamps;10;-42.8;13;0;5.3;81.6;8.1;20.9;2140
14352;Landelles-et-Coupigny;4;2.1;1.4;0;1;97.6;24.7;57.1;837
14353;Landes-sur-Ajon;6;0.7;7.1;0;0;92.9;6;7.7;451
14354;Langrune-sur-Mer;12;64.9;18.1;0.6;0;81.3;4.7;11;1912
14355;Ponts sur Seulles;14;3.5;5.4;0;6.5;88.1;12.9;9.5;1209
14357;Terres de Druance;4;-3;0;0;8.6;91.4;37.2;42.6;895
14358;Léaupartie;4;-3.5;0;0;0;100;3.2;0.8;88
14360;Leffard;5;35.7;0;0;1.7;98.3;6.9;1.3;214
14362;Lessard-et-le-Chêne;5;-27.5;0;0;5.8;94.2;10.1;0.6;157
14364;Lingèvres;6;18.6;0;0;0;100;14.5;3.6;459
14365;Lion-sur-Mer;7;-11.6;24.7;1.2;0;74.1;4.8;6.6;2521
14366;Lisieux;14;24.2;64.6;0;0;35.3;13.1;26.5;19807
14367;Lison;7;1.4;0.2;0;5.4;94.4;10.9;4.6;429
14368;Lisores;5;-11.8;0;0;11.9;88.1;11.9;3.6;261
14369;Litteau;5;28;3.6;0;0.4;96;6.9;26.6;281
14370;Le Molay-Littry;6;35;6.8;0;4;89.2;27.1;18.1;3059
14371;Livarot-Pays-d'Auge;13;3.4;1;0;12.4;86.6;180.8;73.2;6158
14374;Les Loges;5;38.7;0;0;0;100;4.5;6.8;145
14375;Les Loges-Saulces;5;-98.9;0;0;13.4;86.6;6.7;0.4;165
14377;Longues-sur-Mer;7;5.8;2.2;0;3.1;94.8;12.3;11;586
14378;Longueville;8;-17.1;5.2;0;0;94.8;6.5;1.7;277
14379;Longvillers;9;-15.2;0;0;0;100;6.7;10;359
14380;Loucelles;4;6.1;3.7;0;0;96.3;3.1;3.3;187
14381;Louvagny;4;-19.1;5;0;10;84.9;5.5;0.3;60
14383;Louvigny;12;-14.7;22.9;0;0;77.1;5.6;4.1;2646
14384;Luc-sur-Mer;6;-29.4;41.5;2.1;0;56.4;3.6;7;3268
14385;Magny-en-Bessin;5;-45.9;0;0;0;100;4.4;2.6;155
14389;Maisoncelles-Pelvey;4;-49;0;0;4.3;95.7;5.4;9.3;255
14390;Maisoncelles-sur-Ajon;4;-20.1;0;0;0;100;4.2;0.7;194
14391;Maisons;6;-32.4;0;0;0;100;6.7;4.6;418
14393;Maizet;9;0.7;0;0;21.2;78.8;5.7;1.6;366
14394;Maizières;8;-13.8;7.8;0;0;92.2;7.2;0.4;430
14396;Maltot;4;20.4;11.1;0;6.8;82.1;4.2;12.6;1028
14397;Mandeville-en-Bessin;5;32.6;2.9;0;0;97.1;8.8;2;318
14398;Manerbe;6;-15.7;0;0;13;87;18.3;14.9;546
14399;Manneville-la-Pipard;5;2.2;0;0;6.7;93.3;6.3;14;263
14400;Le Manoir;9;27.4;4.5;0;0;95.5;5.9;0.5;206
14401;Manvieux;5;-64.9;0;0;2.5;97.5;2.8;4.9;139
14402;Le Marais-la-Chapelle;8;35.3;0;0;7.5;92.5;2.4;0.4;100
14403;Marolles;10;0.6;0;0;0.9;99.1;12.2;17.7;744
14404;Martainville;4;-11.7;0;0;7.8;92.2;5.8;0.6;123
14405;Martigny-sur-l'Ante;7;-26.1;5;0;0.1;94.9;9.3;3.7;328
14406;Moulins-en-Bessin;8;22.3;5.8;0;0;94.2;17.3;7.7;1088
14407;Mathieu;11;-27.3;12.7;0;0;87.3;9.4;14.6;2339
14408;May-sur-Orne;8;56.2;28.2;0;10.4;61.3;3.5;6.1;2017
14409;Merville-Franceville-Plage;4;8.9;21.7;5.3;11.2;60.4;10.4;18.7;2207
14410;Méry-Bissières-en-Auge;7;13.9;5.1;0;0.2;94.7;9.1;6;1080
14411;Meslay;6;-32.2;8.6;0;27.5;64;5.7;3.2;330
14412;Le Mesnil-au-Grain;6;-34.4;0;0;5.4;94.6;4.3;2.5;77
14419;Le Mesnil-Eudes;6;36.4;4.9;0;6.6;88.5;8.4;1.4;250
14421;Le Mesnil-Guillaume;11;-7;6.1;0;11.4;82.5;3.9;3.3;574
14424;Le Mesnil-Robert;5;27;1;0;0;99;4.1;7.5;186
14425;Le Mesnil-Simon;6;8.6;0.4;0;18;81.6;9.6;6.6;158
14426;Le Mesnil-sur-Blangy;5;5.4;0;0;12.9;87.1;7.4;7.8;162
14427;Le Mesnil-Villement;8;0.9;7.4;0;4.5;88;3.5;1.8;286
14430;Meuvaines;6;-10.4;4.5;13;0;82.5;7.4;1.1;137
14431;Mézidon Vallée d'Auge;26;-1.5;4.3;0;5.4;90.3;103.2;79.2;9579
14435;Les Monceaux;5;8.3;0;0;0.2;99.8;3.7;2.7;207
14436;Monceaux-en-Bessin;7;16.2;8.6;0;0;91.4;4.7;16.8;557
14437;Mondeville;12;1000;88.1;0;0.2;10;9.1;39.9;10075
14438;Mondrainville;4;-5.8;9.3;0;7.1;83.5;3.2;4.7;571
14439;Monfréville;6;-4.3;0;0;0;100;7.2;2.9;90
14445;Montfiquet;6;-22.2;0;0;92.7;7.3;19.5;18.7;89
14446;Montigny;4;77.3;0;0;0;100;3.9;0;95
14448;Montreuil-en-Auge;4;-9.7;0;0;41.2;58.8;3.4;0;66
14449;Monts-en-Bessin;7;-29.7;0;0;0;100;7.2;3.5;406
14452;Morteaux-Coulibœuf;10;6.3;7.6;0;1;91.4;11.8;4.3;613
14453;Mosles;8;-24.3;0;0;0.1;99.9;6.4;12;349
14454;Mouen;4;-0.8;43.2;0;5.8;51.1;4.2;16;1731
14455;Moulines;6;3.9;2.8;0;17.6;79.6;9.4;1;274
14456;Moult-Chicheboville;8;17.7;13.6;0.6;5.9;79.9;17.8;37.6;3378
14457;Les Moutiers-en-Auge;6;-10.4;0;0;0.4;99.6;10.1;2.9;129
14458;Les Moutiers-en-Cinglais;4;-17.2;5.2;0;25.5;69.3;6.8;6.5;521
14460;Moyaux;8;-5.2;3.5;0;1.7;94.8;16.2;23.8;1356
14461;Mutrécy;4;-9.8;5.3;0;15.7;79;6.7;9.1;542
14465;Nonant;5;-24.6;8;0;0;92;6.8;5.4;513
14466;Norolles;5;3.3;0;0;14.3;85.7;6.5;19.2;340
14467;Noron-l'Abbaye;7;-57.2;0.1;0;7.6;92.4;7.6;2.3;319
14468;Noron-la-Poterie;6;-19.5;12.2;0;1.1;86.7;3;5;341
14469;Norrey-en-Auge;4;-32.3;0;0;2.3;97.7;8.9;0.2;94
14473;Notre-Dame-de-Livaye;7;N/A - résultat non disponible;0;0;0;100;2.7;1.9;110
14474;Notre-Dame-d'Estrées-Corbon;5;48.7;0;0;6.3;93.7;11.5;1.6;197
14475;Val d'Arry;11;-1.2;3.3;0;1.8;94.9;24.5;35.2;2420
14476;Olendon;4;-31.7;4.2;0;3.8;91.9;7.4;1.6;181
14478;Orbec;6;20.7;12.3;0;30.2;57.5;10.1;11;1950
14480;Osmanville;7;7.1;6.6;2.3;0;89.9;10.9;4.9;509
14482;Ouézy;1;-8.1;5.5;0;30.4;64.1;4.6;0.3;236
14483;Ouffières;4;11.5;0;0;8.7;91.3;4.2;2.1;194
14484;Ouilly-du-Houley;4;-0.5;0;0;24.1;75.9;8.9;5.7;252
14486;Ouilly-le-Tesson;4;1.1;6.6;0;8.5;84.9;12;4.7;565
14487;Ouilly-le-Vicomte;9;-16.1;5.9;0;10.4;83.7;7.7;6.9;748
14488;Ouistreham;15;-30.8;42.7;19.9;5.1;24.7;9.9;25.7;9331
14491;Parfouru-sur-Odon;8;N/A - résultat non disponible;0;0;0;100;3.6;2.4;195
14492;Pennedepie;10;-3.9;0;0.5;14.8;84.7;5.7;16.2;315
14494;Périers-en-Auge;6;-10.7;2.3;0;0;97.7;5.1;17.4;122
14495;Périers-sur-le-Dan;7;-43.1;15.4;0;0;84.6;3;4.8;574
14496;Périgny;5;7.4;0;0;17.2;82.8;2.7;2.3;56
14497;Perrières;5;-2.1;8.7;0;8.8;82.5;8.2;0.6;339
14498;Pertheville-Ners;7;36.1;0;0;3;97;8.2;1.8;236
14499;Petiville;4;117.5;10.6;0;7.4;82.1;2.9;5;557
14500;Pierrefitte-en-Auge;7;-20.9;0;0;13.3;86.6;5.5;7.8;154
14501;Pierrefitte-en-Cinglais;8;6.7;0;0;20.1;79.9;10.7;4.1;240
14502;Pierrepont;5;33;0;0;5.8;94.2;4.3;0.9;86
14504;Le Pin;5;-5.5;0;0;7.3;92.7;11.5;19;811
14506;Planquery;7;-28.2;0;0;14.3;85.7;14.4;2.1;248
14509;Plumetot;6;-25.4;20.2;0;0;79.8;1.2;0.1;207
14510;La Pommeraye;5;4.3;0;0;21.6;78.5;2.8;3.9;62
14511;Pont-Bellanger;6;-9.5;0;0;17.9;82.1;3.5;3.5;67
14512;Pontécoulant;4;1.9;0;0;14.4;85.6;2.4;0.5;70
14514;Pont-l'Évêque;10;5.5;24.4;0;2.2;68.5;13;43.1;4953
14515;Port-en-Bessin-Huppain;11;19.9;37.2;0.7;0.6;61.6;7.6;16.1;1907
14516;Potigny;8;22.3;26.7;0;6.5;66.8;4.3;12.6;2077
14519;Préaux-Bocage;5;2.7;0;0;0;100;4.3;0.1;119
14520;Le Pré-d'Auge;8;1.3;2.4;0;0;97.6;10.7;15.3;850
14522;Prêtreville;5;8.5;0.1;0;1.9;97.9;11.2;3.1;389
14524;Putot-en-Auge;5;-25.8;0;0;3;97;6.6;5;307
14527;Belle Vie en Auge;7;2.4;4;0;2.6;89.9;23.6;11.1;543
14528;Quetteville;6;-33.1;0;0;8.8;91.2;10.3;27.3;399
14529;Ranchy;6;4.5;0;0;0;100;5.1;4.3;277
14530;Ranville;5;-1.2;28.9;0;6.5;61.8;8.4;23.1;1982
14531;Rapilly;4;28;0;0;18.3;81.7;4.2;1.6;47
14533;Repentigny;4;-39.8;0;0;0;100;2.1;1.6;101
14534;Reux;5;-38;3.6;0;7.1;89.3;7.4;8.8;397
14535;Reviers;6;-22.2;7;0;5.6;87.4;4.4;4.7;576
14536;La Rivière-Saint-Sauveur;11;461.9;35.1;0;17.3;47.5;5.4;31.9;2535
14538;Castine-en-Plaine;4;-26.2;11.5;0;0;88.5;8.2;37.5;1707
14540;Rocques;4;-55.7;0.2;0;14.7;85.2;6.1;3.8;286
14541;La Roque-Baignard;5;24.2;0;0;0.1;99.9;4.6;1.4;110
14542;Rosel;5;3.9;17.5;0;1.4;81.1;3.9;7.7;590
14543;Rots;24;-15.3;10.3;0;1.6;88.1;23.4;32.7;2508
14546;Rouvres;5;4.2;3.6;0;5.9;90.5;8.9;0.4;223
14547;Rubercy;7;10.2;0;0;0;100;5.5;1.4;153
14550;Rumesnil;4;0.5;0;0;0.8;99.2;5.3;1;89
14552;Ryes;7;3.8;4.8;0;0;95.2;9.6;6.2;494
14554;Le Castelet;4;-14.2;15.5;0;3.7;80.8;12.6;19.7;1772
14555;Saint-André-d'Hébertot;9;22.5;0;0;0;100;9.8;21;451
14556;Saint-André-sur-Orne;10;-26.4;42.7;0;0;57.3;3.7;29.8;1790
14557;Saint-Arnoult;7;-17.1;41.6;0;2.8;53;5.1;21.3;1105
14558;Saint-Aubin-d'Arquenay;5;9.2;15;0;8.7;76.3;3.3;10.8;1121
14559;Saint-Aubin-des-Bois;5;-24.9;3.1;0;2;94.9;8.3;15.7;223
14562;Saint-Aubin-sur-Mer;11;N/A - résultat non disponible;38.6;1.3;0;60.1;3;3.9;2139
14563;Saint-Benoît-d'Hébertot;5;-51.8;0;0;4.9;95.1;7.1;37.7;449
14565;Saint-Côme-de-Fresné;8;-28.5;7.8;1.3;0;91;4.3;3;257
14566;Saint-Contest;9;-15;25.3;0;0;74.7;8.1;23;2487
14569;Sainte-Croix-sur-Mer;4;-3.2;13.8;0;0;86.2;2.1;4.7;241
14570;Valorbiquet;7;-9.8;5.5;0;17.4;77.1;28.7;35.4;2491
14571;Saint-Denis-de-Mailloc;4;37;6.6;0;5.3;88.1;4.2;1.6;306
14572;Saint-Denis-de-Méré;8;-43.4;4.3;0;10.9;84.7;11.4;11.5;765
